,time,Fx,Fy,Fz,Mx,My,Mz
0,9.668687,1.83105,3.66211,8.30078,0.85144,0.540161,0.558472
1,9.668747,0.915527,3.17383,8.05664,0.897217,0.576782,0.604248
2,9.668807,0.793457,3.66211,8.91113,0.952148,0.604248,0.668335
3,9.668867,1.15967,3.23486,7.69043,0.897217,0.585938,0.668335
4,9.668927,0.732422,3.05176,7.20215,0.842285,0.466919,0.494385
5,9.668987,1.28174,2.92969,8.30078,0.778198,0.466919,0.384521
6,9.669047,0.976563,2.80762,10.0098,0.759888,0.476074,0.375366
7,9.669107,1.46484,3.2959,9.64355,0.823975,0.50354,0.430298
8,9.669167,1.64795,3.60107,10.2539,0.860596,0.521851,0.540161
9,9.669227,2.2583,3.479,8.91113,0.823975,0.439453,0.485229
10,9.669287,1.2207,3.23486,10.2539,0.869751,0.531006,0.540161
11,9.669347,1.09863,2.86865,10.1318,0.878906,0.576782,0.631714
12,9.669407,1.2207,3.23486,8.54492,0.933838,0.640869,0.695801
13,9.669467,1.15967,3.72314,7.44629,0.942993,0.622559,0.668335
14,9.669527,1.34277,3.11279,6.5918,0.897217,0.540161,0.567627
15,9.669587,1.15967,2.74658,7.08008,0.778198,0.430298,0.494385
16,9.669647,1.09863,3.35693,7.44629,0.750732,0.430298,0.466919
17,9.669707,1.46484,3.35693,9.27734,0.778198,0.439453,0.411987
18,9.669767,1.28174,3.60107,10.2539,0.796509,0.466919,0.384521
19,9.669827,1.52588,3.11279,11.1084,0.796509,0.485229,0.384521
20,9.669887,1.46484,2.86865,10.8643,0.787354,0.457764,0.512695
21,9.669947,1.28174,3.11279,9.52148,0.823975,0.485229,0.512695
22,9.670007,0.976563,3.60107,10.2539,0.915527,0.595093,0.695801
23,9.670067,1.15967,3.90625,9.0332,1.00708,0.668335,0.860596
24,9.670127,1.0376,3.90625,3.78418,0.961304,0.604248,0.640869
25,9.670187,0.915527,3.96729,7.20215,0.814819,0.476074,0.430298
26,9.670247,1.58691,3.23486,7.69043,0.814819,0.421143,0.32959
27,9.670307,1.40381,3.479,10.7422,0.769043,0.439453,0.476074
28,9.670367,1.89209,3.72314,10.0098,0.842285,0.531006,0.521851
29,9.670427,1.40381,3.35693,9.15527,0.869751,0.540161,0.540161
30,9.670487,1.2207,3.17383,8.78906,0.85144,0.540161,0.585938
31,9.670547,1.28174,3.2959,9.27734,0.85144,0.585938,0.540161
32,9.670607,1.0376,3.35693,10.0098,0.888062,0.549316,0.549316
33,9.670667,1.58691,3.60107,9.15527,0.924683,0.622559,0.668335
34,9.670727,1.64795,3.54004,8.42285,0.933838,0.585938,0.595093
35,9.670787,1.77002,3.23486,7.93457,0.796509,0.457764,0.521851
36,9.670847,1.09863,3.2959,9.64355,0.83313,0.485229,0.50354
37,9.670907,1.2207,3.23486,10.1318,0.869751,0.540161,0.531006
38,9.670967,1.52588,3.41797,10.7422,0.961304,0.604248,0.567627
39,9.671027,1.52588,3.54004,10.1318,0.933838,0.604248,0.494385
40,9.671087,1.52588,3.11279,9.27734,0.823975,0.485229,0.448608
41,9.671147,0.610352,3.2959,10.6201,0.85144,0.50354,0.485229
42,9.671207,1.0376,2.99072,9.64355,0.897217,0.613403,0.567627
43,9.671267,1.2207,2.80762,10.376,0.915527,0.622559,0.65918
44,9.671327,1.64795,3.66211,8.05664,0.952148,0.595093,0.650024
45,9.671387,1.70898,3.54004,7.69043,0.906372,0.512695,0.531006
46,9.671447,1.70898,2.92969,8.30078,0.842285,0.466919,0.466919
47,9.671507,2.2583,3.23486,7.69043,0.814819,0.466919,0.531006
48,9.671567,1.40381,3.17383,8.05664,0.869751,0.485229,0.531006
49,9.671627,0.793457,3.17383,9.0332,0.83313,0.512695,0.549316
50,9.671687,1.58691,3.479,9.52148,0.778198,0.485229,0.439453
51,9.671747,1.2207,2.86865,8.78906,0.787354,0.50354,0.558472
52,9.671807,1.34277,2.92969,8.91113,0.888062,0.576782,0.640869
53,9.671867,1.34277,3.2959,8.66699,0.897217,0.549316,0.67749
54,9.671927,2.0752,3.54004,8.42285,0.897217,0.567627,0.613403
55,9.671987,2.0752,3.17383,7.8125,0.878906,0.531006,0.585938
56,9.672047,1.28174,3.2959,6.83594,0.83313,0.531006,0.622559
57,9.672107,0.976563,3.23486,6.46973,0.83313,0.50354,0.540161
58,9.672167,1.34277,3.2959,7.08008,0.842285,0.50354,0.512695
59,9.672227,1.40381,3.35693,8.78906,0.85144,0.512695,0.411987
60,9.672287,1.77002,2.86865,10.376,0.805664,0.430298,0.421143
61,9.672347,1.15967,2.62451,8.91113,0.796509,0.476074,0.512695
62,9.672407,1.52588,2.44141,8.78906,0.759888,0.50354,0.485229
63,9.672467,1.58691,2.38037,9.52148,0.814819,0.540161,0.549316
64,9.672527,1.89209,3.35693,10.1318,0.942993,0.604248,0.640869
65,9.672587,1.64795,3.11279,8.91113,0.970459,0.622559,0.723267
66,9.672647,2.19727,2.68555,7.20215,0.869751,0.50354,0.576782
67,9.672707,0.854492,2.68555,6.34766,0.83313,0.540161,0.576782
68,9.672767,0.854492,1.64795,7.56836,0.778198,0.512695,0.512695
69,9.672827,0.549316,3.11279,7.93457,0.769043,0.521851,0.512695
70,9.672887,1.64795,2.68555,9.15527,0.814819,0.430298,0.411987
71,9.672947,1.64795,2.80762,10.0098,0.759888,0.402832,0.228882
72,9.673007,1.2207,2.44141,10.2539,0.778198,0.421143,0.411987
73,9.673067,1.09863,2.56348,10.8643,0.842285,0.494385,0.512695
74,9.673127,1.15967,3.41797,9.64355,0.942993,0.585938,0.650024
75,9.673187,1.58691,2.80762,9.64355,0.970459,0.704956,0.85144
76,9.673247,1.64795,3.11279,4.5166,0.997925,0.67749,0.695801
77,9.673307,1.34277,2.2583,7.93457,0.970459,0.50354,0.531006
78,9.673367,1.77002,2.62451,9.39941,0.796509,0.476074,0.375366
79,9.673427,1.40381,3.78418,14.4043,0.823975,0.457764,0.411987
80,9.673487,1.46484,3.23486,12.4512,0.997925,0.567627,0.512695
81,9.673547,1.2207,3.17383,10.8643,0.906372,0.558472,0.485229
82,9.673607,0.793457,2.92969,10.6201,0.897217,0.549316,0.558472
83,9.673667,1.0376,3.11279,11.1084,0.952148,0.613403,0.549316
84,9.673727,1.46484,2.86865,11.9629,1.08032,0.695801,0.65918
85,9.673787,1.40381,2.80762,12.6953,0.952148,0.686646,0.686646
86,9.673847,1.52588,3.35693,9.52148,0.860596,0.540161,0.576782
87,9.673907,0.976563,2.99072,8.42285,0.85144,0.421143,0.466919
88,9.673967,1.28174,2.74658,8.78906,0.842285,0.485229,0.476074
89,9.674027,1.34277,3.35693,10.498,0.823975,0.540161,0.512695
90,9.674087,1.2207,3.479,10.376,0.933838,0.540161,0.558472
91,9.674147,1.52588,3.41797,10.1318,0.942993,0.540161,0.476074
92,9.674207,1.89209,2.99072,10.376,0.759888,0.457764,0.457764
93,9.674267,2.0752,2.74658,8.91113,0.814819,0.494385,0.540161
94,9.674327,1.28174,2.38037,9.27734,0.933838,0.558472,0.640869
95,9.674387,1.34277,3.11279,8.17871,0.942993,0.585938,0.67749
96,9.674447,1.58691,3.54004,9.76563,0.897217,0.558472,0.576782
97,9.674507,1.28174,2.92969,9.15527,0.933838,0.50354,0.576782
98,9.674567,1.77002,3.11279,9.27734,0.85144,0.448608,0.558472
99,9.674627,1.95313,3.2959,7.69043,0.823975,0.448608,0.457764
100,9.674687,2.31934,2.92969,8.91113,0.814819,0.50354,0.421143
101,9.674747,1.52588,2.74658,9.64355,0.823975,0.512695,0.466919
